pubyear,earlyyear,n,r,effectid,studyid,attitude,paradigm,fake,figure,obvious,subtle,transformed,es,var
51,54,41,0.05,58111,581,2,p26,43.39534884,30.81395349,32.72093023,64.35658915,0,0.0500,0.026315789
51,54,41,0.13,58112,581,2,p26,43.39534884,30.81395349,32.72093023,64.35658915,0,0.1307,0.026315789
51,54,41,-0.15,58113,581,2,p29,43.40909091,41.93181818,39.68181818,58.32575758,0,-0.1511,0.026315789
51,54,41,0.03,58114,581,2,p27,48.93023256,26.23255814,24.60465116,66.74418605,0,0.0300,0.026315789
51,54,41,0.02,58115,581,2,p24,56.88636364,41.5,44.72727273,52.29545455,0,0.0200,0.026315789
64,65,1689,0.28,5911,591,0,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.2877,0.00059312
64,65,1694,0.28,5912,591,0,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.2877,0.000591366
23,26,40,-0.09,6011,601,0,p35,54.35416667,42.64583333,39.39583333,54.53472222,1,-0.0854,0.04040008
62,65,46,-0.14,6141,614,1,p19,56.61904762,48.92857143,52.76190476,47.23015873,0,-0.1409,0.023255814
62,65,46,-0.11,6142,614,0,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,-0.1104,0.023255814
62,65,46,0.07,6143,614,1,p19,56.61904762,48.92857143,52.76190476,47.23015873,0,0.0701,0.023255814
62,65,46,0.14,6144,614,0,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,0.1409,0.023255814
47,41,3805,0.18,6311,631,0,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.1820,0.000263019
47,41,3805,0.21,6312,631,3,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.2132,0.000263019
47,41,3805,0.15,6313,631,0,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.1511,0.000263019
47,41,3805,0.1,6314,631,0,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.1003,0.000263019
47,41,3805,0.25,6315,631,1,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.2554,0.000263019
47,41,3805,0.09,6316,631,1,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.0902,0.000263019
47,41,3805,0.14,6317,631,0,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.1409,0.000263019
60,63,144,0.21,6411,641,0,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.2132,0.007092199
62,65,45,0.39,6521,652,1,p5,67.6875,55.33333333,42.6875,44.76388889,0,0.4118,0.023809524
62,65,45,0.3,6522,652,1,p5,67.6875,55.33333333,42.6875,44.76388889,0,0.3095,0.023809524
62,65,37,0.12,6524,652,1,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,0.1206,0.029411765
62,65,37,-0.03,6526,652,1,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,-0.0300,0.029411765
62,65,37,0.05,6528,652,1,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,0.0500,0.029411765
62,65,37,0.04,65210,652,1,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,0.0400,0.029411765
62,65,37,0.22,65212,652,1,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,0.2237,0.029411765
62,65,37,-0.03,65214,652,1,p25,59.81395349,37,38.20930233,54.99224806,0,-0.0300,0.029411765
62,65,37,-0.09,65216,652,1,p25,59.81395349,37,38.20930233,54.99224806,0,-0.0902,0.029411765
62,65,37,-0.06,65218,652,1,p25,59.81395349,37,38.20930233,54.99224806,0,-0.0601,0.029411765
62,65,37,-0.13,65224,652,1,p28,58,36.23809524,36.54761905,56.4047619,0,-0.1307,0.029411765
62,65,37,-0.04,65226,652,1,p28,58,36.23809524,36.54761905,56.4047619,0,-0.0400,0.029411765
61,64,100,0.32,6611,661,1,p5,67.6875,55.33333333,42.6875,44.76388889,0,0.3316,0.010309278
61,64,100,0.12,6612,661,1,p5,67.6875,55.33333333,42.6875,44.76388889,0,0.1206,0.010309278
61,64,100,0.12,6613,661,0,p5,67.6875,55.33333333,42.6875,44.76388889,0,0.1206,0.010309278
61,64,100,0.15,6614,661,0,p5,67.6875,55.33333333,42.6875,44.76388889,0,0.1511,0.010309278
53,56,37,0.5,6721,672,1,p32,69.88636364,67.72727273,60.29545455,34.03030303,0,0.5493,0.029411765
23,26,34,0.1,6911,691,2,p9,57.51219512,49.41463415,45.26829268,49.26829268,1,0.1000,0.03994895
53,56,20,0.31,7011,701,1,p29,43.40909091,41.93181818,39.68181818,58.32575758,0,0.3205,0.058823529
53,56,16,-0.18,7012,701,1,p26,43.39534884,30.81395349,32.72093023,64.35658915,0,-0.1820,0.076923077
0,0,114,0.05,7111,711,0,p31,57.07142857,37.78571429,39.54761905,55.1984127,0,0.0500,0.009009009
53,56,48,0.3,7211,721,0,p10,53.47727273,45.54545455,40.79545455,53.39393939,1,0.3106,0.0618287
48,51,35,0.55,7311,731,0,p30,62.5,66.13636364,59,37.45454545,1,0.6252,0.07103733
48,51,35,0.44,7312,731,0,p30,62.5,66.13636364,59,37.45454545,1,0.4774,0.0550883
48,51,35,0.53,7313,731,0,p30,62.5,66.13636364,59,37.45454545,1,0.5941,0.06614582
51,53,54,0.86,7421,742,0,p17,57,44.93181818,44.68181818,51.12878788,1,1.2892,0.0116538
57,60,46,0.36,7511,751,0,p15,58.15555556,35.46666667,35.68888889,56.8962963,0,0.3769,0.023255814
57,60,46,0.34,7512,751,0,p15,58.15555556,35.46666667,35.68888889,56.8962963,0,0.3541,0.023255814
53,56,42,0.07,7621,762,0,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,0.0701,0.025641026
21,24,43,0.66,7711,771,3,p6,74.95,66.25,46.95,37.28333333,1,0.7841,0.1807441
21,24,43,0.43,7712,771,3,p6,74.95,66.25,46.95,37.28333333,1,0.4613,0.07704596
18,21,20,0,7811,781,0,p35,54.35416667,42.64583333,39.39583333,54.53472222,0,0.0000,0.058823529
39,42,133,-0.08,7911,791,0,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,-0.0802,0.007692308
39,42,133,0.21,7912,791,0,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.2132,0.007692308
39,42,133,0.36,7913,791,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.3769,0.007692308
